frame,zone_name,zone_id,count,density,d_norm,s_norm,c_norm,crs,risk,factor,gate_summary,proj_crs,crr,resource_status
901,Entry Corridor,0,970,6.929,0.9898,0.548,0.2044,0.7516,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.433,42.4,CRITICAL
931,Entry Corridor,0,945,6.75,0.9643,0.6215,0.2564,0.6663,WARNING,DENSITY,Gate-Exit-Main:OPEN[MEDIUM] | Gate-Exit-Secondary:OPEN[LOW],0.4286,35.7,ADEQUATE
961,Entry Corridor,0,947,6.764,0.9663,0.4636,0.3082,0.8572,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4699,45.2,CRITICAL
991,Entry Corridor,0,916,6.543,0.9347,0.4616,0.3404,0.8168,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.466,42.9,CRITICAL
1021,Entry Corridor,0,938,6.7,0.9571,0.4107,0.2251,0.9005,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4581,49.1,CRITICAL
1051,Entry Corridor,0,932,6.657,0.951,0.4727,0.1726,0.7779,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4248,45.4,CRITICAL
1081,Entry Corridor,0,918,6.557,0.9367,0.4514,0.2089,0.7943,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4337,45.4,CRITICAL
1111,Entry Corridor,0,941,6.721,0.9602,0.5034,0.259,0.7787,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4453,42.8,CRITICAL
1141,Entry Corridor,0,952,6.8,0.9714,0.4118,0.2222,0.9277,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4638,50.0,CRITICAL
1171,Entry Corridor,0,943,6.736,0.9622,0.4761,0.3049,0.8312,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4643,44.1,CRITICAL
1201,Entry Corridor,0,911,6.507,0.9296,0.3359,0.2768,0.9993,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4843,51.5,CRITICAL
1231,Entry Corridor,0,965,6.893,0.9847,0.3493,0.2126,1.0,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4922,50.8,CRITICAL
1261,Entry Corridor,0,920,6.571,0.9388,0.4607,0.1541,0.7687,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4176,45.7,CRITICAL
1291,Entry Corridor,0,925,6.607,0.9439,0.485,0.1778,0.7525,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4208,44.1,CRITICAL
