frame,zone_name,zone_id,count,density,d_norm,s_norm,c_norm,crs,risk,factor,gate_summary,proj_crs,crr,resource_status
1,Entry Zone,0,202,5.05,0.7214,0.0,0.0,1.0,DANGER,DENSITY,Gate-1:OPEN[HIGH] | Gate-2:OPEN[MEDIUM],0.4556,54.4,CRITICAL
1,Central Zone,1,698,11.633,1.0,0.0,0.0,1.0,DANGER,DENSITY,Gate-2:OPEN[HIGH] | Gate-3:OPEN[MEDIUM],0.7912,0.0,CRITICAL
1,Exit Zone,2,385,9.625,1.0,0.0,0.0,1.0,DANGER,DENSITY,Gate-3:OPEN[HIGH] | Gate-4:OPEN[MEDIUM],0.7912,0.0,CRITICAL
11,Entry Zone,0,178,4.45,0.6357,0.7945,0.295,0.4561,WARNING,DENSITY,Gate-1:OPEN[MEDIUM] | Gate-2:OPEN[LOW],0.373,18.2,CRITICAL
11,Central Zone,1,652,10.867,1.0,0.7945,0.295,0.6022,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4377,27.3,CRITICAL
11,Exit Zone,2,362,9.05,1.0,0.7945,0.295,0.6022,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4377,27.3,CRITICAL
21,Entry Zone,0,158,3.95,0.5643,0.9022,0.195,0.4151,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.3508,15.5,CRITICAL
21,Central Zone,1,549,9.15,1.0,0.9022,0.195,0.5324,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4103,22.9,CRITICAL
21,Exit Zone,2,382,9.55,1.0,0.9022,0.195,0.5324,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4103,22.9,CRITICAL
