frame,zone_name,zone_id,count,density,d_norm,s_norm,c_norm,crs,risk,factor,gate_summary,proj_crs,crr,resource_status
109,Exit Zone,2,295,7.375,1.0,1.0,0.4242,0.5773,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4749,17.7,CRITICAL
121,Entry Zone,0,32,0.8,0.1143,1.0,0.3668,0.4229,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2825,33.2,CRITICAL
121,Central Zone,1,621,10.35,1.0,1.0,0.3668,0.5601,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4594,18.0,CRITICAL
121,Exit Zone,2,283,7.075,1.0,1.0,0.3668,0.5601,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4594,18.0,CRITICAL
133,Entry Zone,0,45,1.125,0.1607,1.0,0.2284,0.3863,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2593,32.9,CRITICAL
133,Central Zone,1,666,11.1,1.0,1.0,0.2284,0.5185,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4221,18.6,CRITICAL
133,Exit Zone,2,283,7.075,1.0,1.0,0.2284,0.5185,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4221,18.6,CRITICAL
145,Entry Zone,0,29,0.725,0.1036,1.0,0.1809,0.366,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2356,35.6,CRITICAL
145,Central Zone,1,643,10.717,1.0,1.0,0.1809,0.5043,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4092,18.9,CRITICAL
145,Exit Zone,2,252,6.3,0.9,1.0,0.1809,0.4778,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.3966,17.0,CRITICAL
157,Entry Zone,0,65,1.625,0.2321,1.0,0.1364,0.3664,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.253,30.9,CRITICAL
157,Central Zone,1,686,11.433,1.0,1.0,0.1364,0.4909,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.3972,19.1,CRITICAL
157,Exit Zone,2,283,7.075,1.0,1.0,0.1364,0.4909,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.3972,19.1,CRITICAL
169,Entry Zone,0,50,1.25,0.1786,0.7788,0.145,0.3114,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.2986,4.1,STRAINED
169,Central Zone,1,722,12.033,1.0,0.7788,0.145,0.5646,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.3976,29.6,STRAINED
169,Exit Zone,2,290,7.25,1.0,0.7788,0.145,0.5646,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.3976,29.6,STRAINED
181,Entry Zone,0,38,0.95,0.1357,0.8277,0.0653,0.2916,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.2793,4.2,STRAINED
